iter	Logloss
0	0.6778425395
1	0.6639026268
2	0.6508789057
3	0.6388405251
4	0.6291038549
5	0.6174840863
6	0.6068938259
7	0.5964459264
8	0.5869562761
9	0.5776644939
10	0.5690249846
11	0.5604815372
12	0.5532060623
13	0.545627951
14	0.5382799024
15	0.5333013916
16	0.5269954012
17	0.5214473103
18	0.5155281985
19	0.5110791953
20	0.5056978724
21	0.5005179799
22	0.4957918381
23	0.4915175889
24	0.4876536893
25	0.4840626581
26	0.4801484215
27	0.4767068203
28	0.4733607565
29	0.4698980724
30	0.466582969
31	0.4637954644
32	0.4602706822
33	0.4574823136
34	0.4547923953
35	0.4526758288
36	0.4504932381
37	0.4481729383
38	0.4457418237
39	0.4433746158
40	0.4411326684
41	0.4388542079
42	0.4372366993
43	0.4356142572
44	0.4334834464
45	0.4317995261
46	0.430405685
47	0.4287091929
48	0.4271188108
49	0.4257557605
50	0.4240411261
51	0.4226252753
52	0.4212835627
53	0.4197592366
54	0.4183451085
55	0.4170730293
56	0.4156635075
57	0.4144839031
58	0.4133761462
59	0.4122873459
60	0.4112948791
61	0.4102974082
62	0.4090596457
63	0.4080082838
64	0.4069132046
65	0.4059421845
66	0.4048214156
67	0.4039673738
68	0.4029815608
69	0.4022175725
70	0.4013009498
71	0.4005762589
72	0.3997291031
73	0.3989185766
74	0.3982018003
75	0.3974580132
76	0.3966740882
77	0.3959553532
78	0.3954280291
79	0.3946651591
