iter	Passed	Remaining
0	44	3495
1	62	2422
2	70	1815
3	77	1464
4	86	1300
5	93	1158
6	104	1088
7	111	1004
8	119	944
9	127	890
10	135	852
11	143	810
12	148	762
13	155	731
14	162	703
15	165	660
16	172	638
17	179	618
18	186	600
19	192	577
20	199	561
21	207	547
22	214	532
23	221	517
24	228	503
25	236	490
26	246	482
27	256	476
28	264	464
29	277	462
30	296	468
31	314	472
32	332	472
33	341	462
34	352	453
35	361	441
36	369	429
37	378	418
38	388	408
39	397	397
40	406	386
41	414	374
42	424	365
43	433	354
44	464	361
45	495	366
46	506	355
47	515	343
48	522	330
49	530	318
50	537	305
51	547	294
52	556	283
53	564	271
54	572	260
55	579	248
56	586	236
57	594	225
58	601	214
59	608	202
60	615	191
61	622	180
62	630	170
63	640	160
64	648	149
65	661	140
66	668	129
67	681	120
68	688	109
69	696	99
70	703	89
71	710	78
72	717	68
73	724	58
74	731	48
75	739	38
76	746	29
77	753	19
78	760	9
79	767	0
